iter	Passed	Remaining
928	1639	125
929	1640	123
930	1642	121
931	1644	119
932	1646	118
933	1647	116
934	1650	114
935	1651	112
936	1653	111
937	1655	109
938	1657	107
939	1658	105
940	1660	104
941	1662	102
942	1664	100
943	1665	98
944	1667	97
945	1669	95
946	1671	93
947	1673	91
948	1675	90
949	1677	88
950	1679	86
951	1681	84
952	1682	82
953	1684	81
954	1686	79
955	1687	77
956	1689	75
957	1691	74
958	1693	72
959	1694	70
960	1696	68
961	1698	67
962	1700	65
963	1702	63
964	1703	61
965	1705	60
966	1707	58
967	1709	56
968	1710	54
969	1712	52
970	1714	51
971	1716	49
972	1717	47
973	1719	45
974	1721	44
975	1722	42
976	1724	40
977	1726	38
978	1727	37
979	1729	35
980	1731	33
981	1733	31
982	1735	30
983	1736	28
984	1739	26
985	1740	24
986	1742	22
987	1744	21
988	1746	19
989	1747	17
990	1749	15
991	1751	14
992	1753	12
993	1754	10
994	1756	8
995	1758	7
996	1760	5
997	1761	3
998	1763	1
999	1765	0
